area_fips,industry_code,year,qtr,area_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl
20005,10,2023,1,"Atchison County, Kansas",436,5375,5452,5453
20005,10,2023,1,"Atchison County, Kansas",9,48,47,46
20005,10,2023,1,"Atchison County, Kansas",13,55,54,55
20005,10,2023,1,"Atchison County, Kansas",25,783,793,774
20005,10,2023,1,"Atchison County, Kansas",389,4489,4558,4578
20013,10,2023,1,"Brown County, Kansas",335,4375,4351,4373
20013,10,2023,1,"Brown County, Kansas",12,57,58,58
20013,10,2023,1,"Brown County, Kansas",7,53,51,50
20013,10,2023,1,"Brown County, Kansas",37,1134,1131,1136
20013,10,2023,1,"Brown County, Kansas",279,3131,3111,3129
20021,10,2023,1,"Cherokee County, Kansas",410,5759,5784,5748
20021,10,2023,1,"Cherokee County, Kansas",11,55,56,55
20021,10,2023,1,"Cherokee County, Kansas",7,47,47,47
20021,10,2023,1,"Cherokee County, Kansas",29,1071,1099,983
20021,10,2023,1,"Cherokee County, Kansas",363,4586,4582,4663
20037,10,2023,1,"Crawford County, Kansas",1069,17557,17788,17753
20037,10,2023,1,"Crawford County, Kansas",15,81,79,78
20037,10,2023,1,"Crawford County, Kansas",19,1087,1076,1087
20037,10,2023,1,"Crawford County, Kansas",38,2986,3051,3081
20037,10,2023,1,"Crawford County, Kansas",997,13403,13582,13507
20043,10,2023,1,"Doniphan County, Kansas",215,2465,2529,2617
20043,10,2023,1,"Doniphan County, Kansas",9,24,23,23
20043,10,2023,1,"Doniphan County, Kansas",4,13,13,12
20043,10,2023,1,"Doniphan County, Kansas",24,737,799,859
20043,10,2023,1,"Doniphan County, Kansas",178,1691,1694,1723
20091,10,2023,1,"Johnson County, Kansas",29136,364161,363539,363629
20091,10,2023,1,"Johnson County, Kansas",45,2946,2947,2961
20091,10,2023,1,"Johnson County, Kansas",32,1277,1275,1273
20091,10,2023,1,"Johnson County, Kansas",49,26642,27397,27255
20091,10,2023,1,"Johnson County, Kansas",29010,333296,331920,332140
20103,10,2023,1,"Leavenworth County, Kansas",1634,21190,21369,21575
20103,10,2023,1,"Leavenworth County, Kansas",36,4148,4154,4192
20103,10,2023,1,"Leavenworth County, Kansas",16,458,460,470
20103,10,2023,1,"Leavenworth County, Kansas",33,3451,3480,3459
20103,10,2023,1,"Leavenworth County, Kansas",1549,13133,13275,13454
20107,10,2023,1,"Linn County, Kansas",261,2058,2056,2084
20107,10,2023,1,"Linn County, Kansas",9,40,42,39
20107,10,2023,1,"Linn County, Kansas",6,29,28,29
20107,10,2023,1,"Linn County, Kansas",27,729,721,734
20107,10,2023,1,"Linn County, Kansas",219,1260,1265,1282
20121,10,2023,1,"Miami County, Kansas",913,8499,8499,8526
20121,10,2023,1,"Miami County, Kansas",12,75,71,72
20121,10,2023,1,"Miami County, Kansas",12,423,429,433
20121,10,2023,1,"Miami County, Kansas",18,1727,1745,1721
20121,10,2023,1,"Miami County, Kansas",871,6274,6254,6300
20209,10,2023,1,"Wyandotte County, Kansas",3822,90118,90352,91150
20209,10,2023,1,"Wyandotte County, Kansas",29,1328,1338,1338
20209,10,2023,1,"Wyandotte County, Kansas",19,4284,4305,4347
20209,10,2023,1,"Wyandotte County, Kansas",19,9168,9216,9282
20209,10,2023,1,"Wyandotte County, Kansas",3755,75338,75493,76183
29003,10,2023,1,"Andrew County, Missouri",541,2608,2606,2651
29003,10,2023,1,"Andrew County, Missouri",10,33,35,36
29003,10,2023,1,"Andrew County, Missouri",5,25,25,25
29003,10,2023,1,"Andrew County, Missouri",40,626,642,635
29003,10,2023,1,"Andrew County, Missouri",486,1924,1904,1955
29011,10,2023,1,"Barton County, Missouri",333,3484,3500,3526
29011,10,2023,1,"Barton County, Missouri",7,40,38,40
29011,10,2023,1,"Barton County, Missouri",5,51,51,52
29011,10,2023,1,"Barton County, Missouri",30,584,582,593
