area_fips,year,qtr,area_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl
20005,2011,1,"Atchison County, Kansas",12,204,206,205
20005,2011,2,"Atchison County, Kansas",12,214,227,215
20005,2011,3,"Atchison County, Kansas",12,210,198,201
20005,2011,4,"Atchison County, Kansas",13,203,196,190
20011,2011,1,"Bourbon County, Kansas",9,188,188,201
20011,2011,2,"Bourbon County, Kansas",10,203,230,226
20011,2011,3,"Bourbon County, Kansas",10,223,221,219
20011,2011,4,"Bourbon County, Kansas",11,223,224,221
20013,2011,1,"Brown County, Kansas",5,109,97,99
20013,2011,2,"Brown County, Kansas",5,116,113,113
20013,2011,3,"Brown County, Kansas",5,115,112,114
20013,2011,4,"Brown County, Kansas",5,113,102,96
20021,2011,1,"Cherokee County, Kansas",9,144,143,150
20021,2011,2,"Cherokee County, Kansas",11,188,200,208
20021,2011,3,"Cherokee County, Kansas",11,208,217,226
20021,2011,4,"Cherokee County, Kansas",11,189,197,189
20037,2011,1,"Crawford County, Kansas",27,1019,1004,1053
20037,2011,2,"Crawford County, Kansas",26,906,908,894
20037,2011,3,"Crawford County, Kansas",27,858,881,911
20037,2011,4,"Crawford County, Kansas",26,911,906,924
20087,2011,1,"Jefferson County, Kansas",4,46,44,47
20087,2011,2,"Jefferson County, Kansas",4,45,44,49
20087,2011,3,"Jefferson County, Kansas",5,49,49,52
20087,2011,4,"Jefferson County, Kansas",4,48,50,47
20091,2011,1,"Johnson County, Kansas",349,6653,6559,6734
20091,2011,2,"Johnson County, Kansas",356,6861,7084,7195
20091,2011,3,"Johnson County, Kansas",359,7109,7119,6909
20091,2011,4,"Johnson County, Kansas",364,6984,6960,6947
20103,2011,1,"Leavenworth County, Kansas",31,528,538,573
20103,2011,2,"Leavenworth County, Kansas",31,582,587,596
20103,2011,3,"Leavenworth County, Kansas",31,585,585,573
20103,2011,4,"Leavenworth County, Kansas",31,560,543,524
20107,2011,1,"Linn County, Kansas",3,0,0,0
20107,2011,2,"Linn County, Kansas",3,0,0,0
20107,2011,3,"Linn County, Kansas",3,0,0,0
20107,2011,4,"Linn County, Kansas",3,0,0,0
20121,2011,1,"Miami County, Kansas",13,257,246,252
20121,2011,2,"Miami County, Kansas",13,259,269,284
20121,2011,3,"Miami County, Kansas",13,275,267,262
20121,2011,4,"Miami County, Kansas",12,0,0,0
20209,2011,1,"Wyandotte County, Kansas",95,1684,1651,1737
20209,2011,2,"Wyandotte County, Kansas",96,1749,1756,1760
20209,2011,3,"Wyandotte County, Kansas",96,1810,1825,1778
20209,2011,4,"Wyandotte County, Kansas",92,1754,1733,1717
29003,2011,1,"Andrew County, Missouri",6,80,83,85
29003,2011,2,"Andrew County, Missouri",6,92,95,100
29003,2011,3,"Andrew County, Missouri",7,97,95,101
29003,2011,4,"Andrew County, Missouri",6,85,87,81
29011,2011,1,"Barton County, Missouri",7,190,181,185
29011,2011,2,"Barton County, Missouri",7,225,221,220
29011,2011,3,"Barton County, Missouri",7,221,213,212
29011,2011,4,"Barton County, Missouri",7,205,202,205
29013,2011,1,"Bates County, Missouri",6,140,133,136
29013,2011,2,"Bates County, Missouri",6,149,158,148
29013,2011,3,"Bates County, Missouri",6,153,154,144
29013,2011,4,"Bates County, Missouri",6,145,143,140
29021,2011,1,"Buchanan County, Missouri",63,1345,1342,1379
29021,2011,2,"Buchanan County, Missouri",60,1423,1445,1411
29021,2011,3,"Buchanan County, Missouri",60,1375,1397,1358
29021,2011,4,"Buchanan County, Missouri",61,1350,1381,1368
29037,2011,1,"Cass County, Missouri",51,940,904,944
29037,2011,2,"Cass County, Missouri",51,952,1011,1029
