DATE,STTMINWGKS,,,
1/1/1979,1.6,,,
1/1/1980,1.6,,,
1/1/1981,1.6,,,
1/1/1982,1.6,,,
1/1/1983,1.6,,,
1/1/1984,1.6,,,
1/1/1985,1.6,,,
1/1/1986,1.6,,,
1/1/1987,1.6,,,
1/1/1988,1.6,,,
1/1/1989,1.6,,,
1/1/1990,1.6,DATE,STTMINWGFG,Fed>=KS
1/1/1991,2.65,1/1/1991,3.8,TRUE
1/1/1992,2.65,1/1/1992,4.25,TRUE
1/1/1993,2.65,1/1/1993,4.25,TRUE
1/1/1994,2.65,1/1/1994,4.25,TRUE
1/1/1995,2.65,1/1/1995,4.25,TRUE
1/1/1996,2.65,1/1/1996,4.25,TRUE
1/1/1997,2.65,1/1/1997,4.75,TRUE
1/1/1998,2.65,1/1/1998,5.15,TRUE
1/1/1999,2.65,1/1/1999,5.15,TRUE
1/1/2000,2.65,1/1/2000,5.15,TRUE
1/1/2001,2.65,1/1/2001,5.15,TRUE
1/1/2002,2.65,1/1/2002,5.15,TRUE
1/1/2003,2.65,1/1/2003,5.15,TRUE
1/1/2004,2.65,1/1/2004,5.15,TRUE
1/1/2005,2.65,1/1/2005,5.15,TRUE
1/1/2006,2.65,1/1/2006,5.15,TRUE
1/1/2007,2.65,1/1/2007,5.15,TRUE
1/1/2008,2.65,1/1/2008,5.85,TRUE
1/1/2009,2.65,1/1/2009,6.55,TRUE
1/1/2010,7.25,1/1/2010,7.25,TRUE
1/1/2011,7.25,1/1/2011,7.25,TRUE
1/1/2012,7.25,1/1/2012,7.25,TRUE
1/1/2013,7.25,1/1/2013,7.25,TRUE
1/1/2014,7.25,1/1/2014,7.25,TRUE
1/1/2015,7.25,1/1/2015,7.25,TRUE
1/1/2016,7.25,1/1/2016,7.25,TRUE
1/1/2017,7.25,1/1/2017,7.25,TRUE
1/1/2018,7.25,1/1/2018,7.25,TRUE
1/1/2019,7.25,1/1/2019,7.25,TRUE
1/1/2020,7.25,1/1/2020,7.25,TRUE
1/1/2021,7.25,1/1/2021,7.25,TRUE
1/1/2022,7.25,1/1/2022,7.25,TRUE
1/1/2023,7.25,1/1/2023,7.25,TRUE
