area_fips,year,qtr,ltd_total_qtrly_wages,ltd_taxable_qtrly_wages,ltd_qtrly_contributions,ltd_avg_wkly_wage,own_title,month,date,year_decimal,emplvl_limited,state,min_wage,all_total_qtrly_wages,all_taxable_qtrly_wages,all_qtrly_contributions,all_avg_wkly_wage,emplvl_all
20005,2011,1,511320,475572,12907,192,Private,1,1/1/2011,2011,204,KS,7.25,40598332,23694598,1168479,635,4876
20005,2011,1,511320,475572,12907,192,Private,2,2/1/2011,2011.083333,206,KS,7.25,40598332,23694598,1168479,635,4884
20005,2011,1,511320,475572,12907,192,Private,3,3/1/2011,2011.166667,205,KS,7.25,40598332,23694598,1168479,635,4986
20005,2011,2,575811,421838,11663,203,Private,1,4/1/2011,2011.25,214,KS,7.25,40135210,7798812,316340,624,4952
20005,2011,2,575811,421838,11663,203,Private,2,5/1/2011,2011.333333,227,KS,7.25,40135210,7798812,316340,624,4931
20005,2011,2,575811,421838,11663,203,Private,3,6/1/2011,2011.416667,215,KS,7.25,40135210,7798812,316340,624,4964
20005,2011,3,585741,278202,8314,222,Private,1,7/1/2011,2011.5,210,KS,7.25,44544603,5337259,215071,690,4986
20005,2011,3,585741,278202,8314,222,Private,2,8/1/2011,2011.583333,198,KS,7.25,44544603,5337259,215071,690,4932
20005,2011,3,585741,278202,8314,222,Private,3,9/1/2011,2011.666667,201,KS,7.25,44544603,5337259,215071,690,4978
20005,2011,4,552666,185972,5565,217,Private,1,10/1/2011,2011.75,203,KS,7.25,42541165,3799669,154441,654,5039
20005,2011,4,552666,185972,5565,217,Private,2,11/1/2011,2011.833333,196,KS,7.25,42541165,3799669,154441,654,4981
20005,2011,4,552666,185972,5565,217,Private,3,12/1/2011,2011.916667,190,KS,7.25,42541165,3799669,154441,654,4982
20011,2011,1,456374,412250,14879,183,Private,1,1/1/2011,2011,188,KS,7.25,31357690,20347422,870764,525,4539
20011,2011,1,456374,412250,14879,183,Private,2,2/1/2011,2011.083333,188,KS,7.25,31357690,20347422,870764,525,4537
20011,2011,1,456374,412250,14879,183,Private,3,3/1/2011,2011.166667,201,KS,7.25,31357690,20347422,870764,525,4700
20011,2011,2,552577,427952,14855,194,Private,1,4/1/2011,2011.25,203,KS,7.25,31945154,7545791,314013,543,4486
20011,2011,2,552577,427952,14855,194,Private,2,5/1/2011,2011.333333,230,KS,7.25,31945154,7545791,314013,543,4516
20011,2011,2,552577,427952,14855,194,Private,3,6/1/2011,2011.416667,226,KS,7.25,31945154,7545791,314013,543,4563
20011,2011,3,562958,326889,11507,196,Private,1,7/1/2011,2011.5,223,KS,7.25,34225264,4170388,172092,585,4515
20011,2011,3,562958,326889,11507,196,Private,2,8/1/2011,2011.583333,221,KS,7.25,34225264,4170388,172092,585,4475
20011,2011,3,562958,326889,11507,196,Private,3,9/1/2011,2011.666667,219,KS,7.25,34225264,4170388,172092,585,4515
20011,2011,4,566276,236199,8496,196,Private,1,10/1/2011,2011.75,223,KS,7.25,34382084,3241859,137630,587,4514
20011,2011,4,566276,236199,8496,196,Private,2,11/1/2011,2011.833333,224,KS,7.25,34382084,3241859,137630,587,4498
20011,2011,4,566276,236199,8496,196,Private,3,12/1/2011,2011.916667,221,KS,7.25,34382084,3241859,137630,587,4496
20021,2011,1,338999,332624,12075,179,Private,1,1/1/2011,2011,144,KS,7.25,35588622,24664262,1106901,631,4417
20021,2011,1,338999,332624,12075,179,Private,2,2/1/2011,2011.083333,143,KS,7.25,35588622,24664262,1106901,631,4292
20021,2011,1,338999,332624,12075,179,Private,3,3/1/2011,2011.166667,150,KS,7.25,35588622,24664262,1106901,631,4305
20021,2011,2,526304,439548,17384,204,Private,1,4/1/2011,2011.25,188,KS,7.25,39768192,9329798,416758,662,4561
20021,2011,2,526304,439548,17384,204,Private,2,5/1/2011,2011.333333,200,KS,7.25,39768192,9329798,416758,662,4606
20021,2011,2,526304,439548,17384,204,Private,3,6/1/2011,2011.416667,208,KS,7.25,39768192,9329798,416758,662,4694
20021,2011,3,582472,361521,14455,206,Private,1,7/1/2011,2011.5,208,KS,7.25,41372322,5360851,239742,688,4596
20021,2011,3,582472,361521,14455,206,Private,2,8/1/2011,2011.583333,217,KS,7.25,41372322,5360851,239742,688,4637
20021,2011,3,582472,361521,14455,206,Private,3,9/1/2011,2011.666667,226,KS,7.25,41372322,5360851,239742,688,4636
20021,2011,4,511585,216479,8722,205,Private,1,10/1/2011,2011.75,189,KS,7.25,42960447,3711854,161201,725,4605
20021,2011,4,511585,216479,8722,205,Private,2,11/1/2011,2011.833333,197,KS,7.25,42960447,3711854,161201,725,4532
20021,2011,4,511585,216479,8722,205,Private,3,12/1/2011,2011.916667,189,KS,7.25,42960447,3711854,161201,725,4544
20091,2011,1,21453317,19542735,610781,248,Private,1,1/1/2011,2011,6653,KS,7.25,3361109871,1560333545,69368949,977,264084
20091,2011,1,21453317,19542735,610781,248,Private,2,2/1/2011,2011.083333,6559,KS,7.25,3361109871,1560333545,69368949,977,263762
20091,2011,1,21453317,19542735,610781,248,Private,3,3/1/2011,2011.166667,6734,KS,7.25,3361109871,1560333545,69368949,977,265957
20091,2011,2,23446919,15981536,485387,256,Private,1,4/1/2011,2011.25,6861,KS,7.25,3252083696,444060333,18191842,917,271025
20091,2011,2,23446919,15981536,485387,256,Private,2,5/1/2011,2011.333333,7084,KS,7.25,3252083696,444060333,18191842,917,273819
20091,2011,2,23446919,15981536,485387,256,Private,3,6/1/2011,2011.416667,7195,KS,7.25,3252083696,444060333,18191842,917,273775
20091,2011,3,24613555,11116327,343546,269,Private,1,7/1/2011,2011.5,7109,KS,7.25,3417180382,312894173,13024227,952,276557
20091,2011,3,24613555,11116327,343546,269,Private,2,8/1/2011,2011.583333,7119,KS,7.25,3417180382,312894173,13024227,952,277011
20091,2011,3,24613555,11116327,343546,269,Private,3,9/1/2011,2011.666667,6909,KS,7.25,3417180382,312894173,13024227,952,274765
20091,2011,4,23296321,8128683,257045,257,Private,1,10/1/2011,2011.75,6984,KS,7.25,3629233054,264506914,10975293,1002,277767
20091,2011,4,23296321,8128683,257045,257,Private,2,11/1/2011,2011.833333,6960,KS,7.25,3629233054,264506914,10975293,1002,279289
20091,2011,4,23296321,8128683,257045,257,Private,3,12/1/2011,2011.916667,6947,KS,7.25,3629233054,264506914,10975293,1002,278835
20103,2011,1,1516010,1408889,46442,213,Private,1,1/1/2011,2011,528,KS,7.25,98038267,61975981,2497630,638,11605
20103,2011,1,1516010,1408889,46442,213,Private,2,2/1/2011,2011.083333,538,KS,7.25,98038267,61975981,2497630,638,11760
20103,2011,1,1516010,1408889,46442,213,Private,3,3/1/2011,2011.166667,573,KS,7.25,98038267,61975981,2497630,638,12087
20103,2011,2,1678917,1230985,39896,220,Private,1,4/1/2011,2011.25,582,KS,7.25,105471690,21887677,927187,655,12378
20103,2011,2,1678917,1230985,39896,220,Private,2,5/1/2011,2011.333333,587,KS,7.25,105471690,21887677,927187,655,12382
20103,2011,2,1678917,1230985,39896,220,Private,3,6/1/2011,2011.416667,596,KS,7.25,105471690,21887677,927187,655,12416
20103,2011,3,1855896,1013196,32195,246,Private,1,7/1/2011,2011.5,585,KS,7.25,110582707,14227998,591480,683,12393
20103,2011,3,1855896,1013196,32195,246,Private,2,8/1/2011,2011.583333,585,KS,7.25,110582707,14227998,591480,683,12377
20103,2011,3,1855896,1013196,32195,246,Private,3,9/1/2011,2011.666667,573,KS,7.25,110582707,14227998,591480,683,12605
