area_fips,year,qtr,area_title,own_title,month,date,year_decimal,emplvl_limited,State,min_wage,mw_increase,emplvl_all,year_2018,proportion_limited
20005,2011,1,"Atchison County, Kansas",Private,1,2011-01-01,2011,204,KS,7.25,0,4876,0,0.04183757178014766
20011,2011,1,"Bourbon County, Kansas",Private,1,2011-01-01,2011,188,KS,7.25,0,4539,0,0.041418814716898
20013,2011,1,"Brown County, Kansas",Private,1,2011-01-01,2011,109,KS,7.25,0,2718,0,0.04010301692420898
20021,2011,1,"Cherokee County, Kansas",Private,1,2011-01-01,2011,144,KS,7.25,0,4417,0,0.03260131310844465
20091,2011,1,"Johnson County, Kansas",Private,1,2011-01-01,2011,6653,KS,7.25,0,264084,0,0.025192741703397404
20103,2011,1,"Leavenworth County, Kansas",Private,1,2011-01-01,2011,528,KS,7.25,0,11605,0,0.04549763033175355
20209,2011,1,"Wyandotte County, Kansas",Private,1,2011-01-01,2011,1684,KS,7.25,0,63124,0,0.02667765033901527
29011,2011,1,"Barton County, Missouri",Private,1,2011-01-01,2011,190,MO,7.25,0,2465,0,0.07707910750507099
29013,2011,1,"Bates County, Missouri",Private,1,2011-01-01,2011,140,MO,7.25,0,2346,0,0.059676044330775786
29021,2011,1,"Buchanan County, Missouri",Private,1,2011-01-01,2011,1345,MO,7.25,0,38341,0,0.035079940533632406
29037,2011,1,"Cass County, Missouri",Private,1,2011-01-01,2011,940,MO,7.25,0,16853,0,0.05577641962855278
29047,2011,1,"Clay County, Missouri",Private,1,2011-01-01,2011,2685,MO,7.25,0,71071,0,0.03777912228616454
29095,2011,1,"Jackson County, Missouri",Private,1,2011-01-01,2011,9354,MO,7.25,0,273599,0,0.0341887214500053
29097,2011,1,"Jasper County, Missouri",Private,1,2011-01-01,2011,1792,MO,7.25,0,49199,0,0.03642350454277526
29145,2011,1,"Newton County, Missouri",Private,1,2011-01-01,2011,539,MO,7.25,0,16174,0,0.03332508965005564
29165,2011,1,"Platte County, Missouri",Private,1,2011-01-01,2011,1102,MO,7.25,0,34506,0,0.03193647481597403
29217,2011,1,"Vernon County, Missouri",Private,1,2011-01-01,2011,248,MO,7.25,0,5327,0,0.046555284400225265
20005,2011,1,"Atchison County, Kansas",Private,2,2011-02-01,2011.0833333333333,206,KS,7.25,0,4884,0,0.04217854217854218
20011,2011,1,"Bourbon County, Kansas",Private,2,2011-02-01,2011.0833333333333,188,KS,7.25,0,4537,0,0.041437072955697596
20013,2011,1,"Brown County, Kansas",Private,2,2011-02-01,2011.0833333333333,97,KS,7.25,0,2729,0,0.035544155368266765
20021,2011,1,"Cherokee County, Kansas",Private,2,2011-02-01,2011.0833333333333,143,KS,7.25,0,4292,0,0.03331780055917987
20091,2011,1,"Johnson County, Kansas",Private,2,2011-02-01,2011.0833333333333,6559,KS,7.25,0,263762,0,0.024867115050689635
20103,2011,1,"Leavenworth County, Kansas",Private,2,2011-02-01,2011.0833333333333,538,KS,7.25,0,11760,0,0.04574829931972789
20209,2011,1,"Wyandotte County, Kansas",Private,2,2011-02-01,2011.0833333333333,1651,KS,7.25,0,63326,0,0.026071439850930106
29011,2011,1,"Barton County, Missouri",Private,2,2011-02-01,2011.0833333333333,181,MO,7.25,0,2429,0,0.07451626183614657
29013,2011,1,"Bates County, Missouri",Private,2,2011-02-01,2011.0833333333333,133,MO,7.25,0,2328,0,0.05713058419243986
29021,2011,1,"Buchanan County, Missouri",Private,2,2011-02-01,2011.0833333333333,1342,MO,7.25,0,38377,0,0.03496886155770383
29037,2011,1,"Cass County, Missouri",Private,2,2011-02-01,2011.0833333333333,904,MO,7.25,0,16757,0,0.05394760398639375
29047,2011,1,"Clay County, Missouri",Private,2,2011-02-01,2011.0833333333333,2675,MO,7.25,0,71394,0,0.03746813457713533
29095,2011,1,"Jackson County, Missouri",Private,2,2011-02-01,2011.0833333333333,9281,MO,7.25,0,273782,0,0.03389923369688292
29097,2011,1,"Jasper County, Missouri",Private,2,2011-02-01,2011.0833333333333,1790,MO,7.25,0,48978,0,0.03654702111151946
29145,2011,1,"Newton County, Missouri",Private,2,2011-02-01,2011.0833333333333,546,MO,7.25,0,16030,0,0.03406113537117904
29165,2011,1,"Platte County, Missouri",Private,2,2011-02-01,2011.0833333333333,1141,MO,7.25,0,34803,0,0.032784530069246906
29217,2011,1,"Vernon County, Missouri",Private,2,2011-02-01,2011.0833333333333,245,MO,7.25,0,5333,0,0.04594037127320458
20005,2011,1,"Atchison County, Kansas",Private,3,2011-03-01,2011.1666666666667,205,KS,7.25,0,4986,0,0.041115122342559166
20011,2011,1,"Bourbon County, Kansas",Private,3,2011-03-01,2011.1666666666667,201,KS,7.25,0,4700,0,0.042765957446808514
20013,2011,1,"Brown County, Kansas",Private,3,2011-03-01,2011.1666666666667,99,KS,7.25,0,2711,0,0.036517890077462194
20021,2011,1,"Cherokee County, Kansas",Private,3,2011-03-01,2011.1666666666667,150,KS,7.25,0,4305,0,0.03484320557491289
20091,2011,1,"Johnson County, Kansas",Private,3,2011-03-01,2011.1666666666667,6734,KS,7.25,0,265957,0,0.025319882537402662
20103,2011,1,"Leavenworth County, Kansas",Private,3,2011-03-01,2011.1666666666667,573,KS,7.25,0,12087,0,0.047406304293869446
20209,2011,1,"Wyandotte County, Kansas",Private,3,2011-03-01,2011.1666666666667,1737,KS,7.25,0,63904,0,0.027181397095643465
29011,2011,1,"Barton County, Missouri",Private,3,2011-03-01,2011.1666666666667,185,MO,7.25,0,2469,0,0.0749291211016606
29013,2011,1,"Bates County, Missouri",Private,3,2011-03-01,2011.1666666666667,136,MO,7.25,0,2359,0,0.05765154726579059
29021,2011,1,"Buchanan County, Missouri",Private,3,2011-03-01,2011.1666666666667,1379,MO,7.25,0,38719,0,0.035615589245590024
29037,2011,1,"Cass County, Missouri",Private,3,2011-03-01,2011.1666666666667,944,MO,7.25,0,17176,0,0.05496040987424313
29047,2011,1,"Clay County, Missouri",Private,3,2011-03-01,2011.1666666666667,2748,MO,7.25,0,72531,0,0.03788724821110973
29095,2011,1,"Jackson County, Missouri",Private,3,2011-03-01,2011.1666666666667,9572,MO,7.25,0,277646,0,0.034475555203388485
29097,2011,1,"Jasper County, Missouri",Private,3,2011-03-01,2011.1666666666667,1880,MO,7.25,0,49544,0,0.037946068141450025
29145,2011,1,"Newton County, Missouri",Private,3,2011-03-01,2011.1666666666667,579,MO,7.25,0,16233,0,0.03566808353354278
29165,2011,1,"Platte County, Missouri",Private,3,2011-03-01,2011.1666666666667,1276,MO,7.25,0,34856,0,0.03660775763139775
29217,2011,1,"Vernon County, Missouri",Private,3,2011-03-01,2011.1666666666667,254,MO,7.25,0,5411,0,0.04694141563481796
20005,2011,2,"Atchison County, Kansas",Private,1,2011-04-01,2011.25,214,KS,7.25,0,4952,0,0.04321486268174475
