year_decimal,KS,MO
2011,3.788704511278954,4.47819709143232
2011.25,3.972978629678397,4.778864327370171
2011.5,4.07250491736417,4.829841238738111
2011.75,3.788028994412334,4.658388058703234
2012,3.806222950569312,4.636725316299415
2012.25,3.951709335075182,4.690042622002426
2012.5,3.9823113318715664,4.8638923167857815
2012.75,4.0768546209234495,4.56914612553563
2013,4.007759677340064,4.657949707506857
2013.25,4.187139899543023,4.9712450245036095
2013.5,4.323091167689165,5.11105116538806
2013.75,4.164915763487093,4.92193219195914
2014,3.9545101026256457,4.835468650064307
2014.25,4.026435417583774,5.048642714110446
2014.5,4.077974620893217,5.088143864619766
2014.75,3.977587004389151,4.898440130158422
2015,3.908199629510685,4.758623178849457
2015.25,4.03869551326634,4.966070006567398
2015.5,4.1947207183257484,4.993238504601042
2015.75,4.158633333346722,4.874987176009183
2016,4.110550296421007,4.8827814143328885
2016.25,4.270558020564235,5.115956475019689
2016.5,4.248136439358558,5.065683767278302
2016.75,4.220442977322221,4.9896163169257095
2017,4.1152523174533195,4.974929853410694
2017.25,4.2604434241341735,5.143330909289503
2017.5,4.416072146479457,5.080119073142238
2017.75,4.175828936212564,5.032564473764651
2018,4.156265701007258,4.7650300095724125
2018.25,4.296268133649845,4.960058970832645
2018.5,4.303739018432155,4.987372197850595
