Year,Employment_Change,State
2011,0,Kansas
2011.083333,0.001377291,Kansas
2011.166667,0.004197715,Kansas
2011.25,0.001474274,Kansas
2011.333333,2.80E-04,Kansas
2011.416667,-0.001691586,Kansas
2011.5,-0.00145991,Kansas
2011.583333,-0.001551801,Kansas
2011.666667,-0.002488044,Kansas
2011.75,-0.003700278,Kansas
2011.833333,-0.001228435,Kansas
2011.916667,6.12E-04,Kansas
2012,8.70E-05,Kansas
2012.083333,0.002749656,Kansas
2012.166667,0.005725089,Kansas
2012.25,0.003537307,Kansas
2012.333333,0.001666482,Kansas
2012.416667,0.003272209,Kansas
2012.5,0.003003698,Kansas
2012.583333,0.002742161,Kansas
2012.666667,0.002035946,Kansas
2012.75,0.002268441,Kansas
2012.833333,0.010902863,Kansas
2012.916667,0.010347146,Kansas
2013,0.01213912,Kansas
2013.083333,0.011872965,Kansas
2013.166667,0.012692974,Kansas
2013.25,0.010910566,Kansas
2013.333333,0.009704636,Kansas
2013.416667,0.010107876,Kansas
2013.5,0.009886566,Kansas
2013.583333,0.009900185,Kansas
2013.666667,0.009825136,Kansas
2013.75,0.008760038,Kansas
2013.833333,0.008111251,Kansas
2013.916667,0.008385191,Kansas
2014,0.011402707,Kansas
2014.083333,0.006624865,Kansas
2014.166667,0.009565214,Kansas
2014.25,0.009608091,Kansas
2014.333333,0.009741797,Kansas
2014.416667,0.010006895,Kansas
2014.5,0.005686787,Kansas
2014.583333,0.004081819,Kansas
2014.666667,0.003680218,Kansas
2014.75,0.004987825,Kansas
2014.833333,0.004631952,Kansas
2014.916667,0.004492151,Kansas
2015,0.00755498,Kansas
2015.083333,0.006088876,Kansas
2015.166667,0.008770119,Kansas
2015.25,0.007819271,Kansas
2015.333333,0.010272133,Kansas
2015.416667,0.011429178,Kansas
2015.5,0.009476312,Kansas
2015.583333,0.00776643,Kansas
2015.666667,0.006482627,Kansas
2015.75,0.007363176,Kansas
2015.833333,0.007991342,Kansas
2015.916667,0.008600556,Kansas
2016,0.011174989,Kansas
