Year,County,Employment,State,area_fips,Min_Wage
2011.083333,"Atchison County, Kansas",0.04321486,Kansas,20005,7.25
2011.166667,"Atchison County, Kansas",0.04603529,Kansas,20005,7.25
2011.25,"Atchison County, Kansas",0.04331185,Kansas,20005,7.25
2011.333333,"Atchison County, Kansas",0.04211793,Kansas,20005,7.25
2011.416667,"Atchison County, Kansas",0.04014599,Kansas,20005,7.25
2011.5,"Atchison County, Kansas",0.04037766,Kansas,20005,7.25
2011.583333,"Atchison County, Kansas",0.04028577,Kansas,20005,7.25
2011.666667,"Atchison County, Kansas",0.03934953,Kansas,20005,7.25
2011.75,"Atchison County, Kansas",0.03813729,Kansas,20005,7.25
2011.833333,"Atchison County, Kansas",0.04060914,Kansas,20005,7.25
2011.916667,"Atchison County, Kansas",0.04244997,Kansas,20005,7.25
2012,"Atchison County, Kansas",0.04192454,Kansas,20005,7.25
2012.083333,"Atchison County, Kansas",0.04458723,Kansas,20005,7.25
2012.166667,"Atchison County, Kansas",0.04756266,Kansas,20005,7.25
2012.25,"Atchison County, Kansas",0.04537488,Kansas,20005,7.25
2012.333333,"Atchison County, Kansas",0.04350405,Kansas,20005,7.25
2012.416667,"Atchison County, Kansas",0.04510978,Kansas,20005,7.25
2012.5,"Atchison County, Kansas",0.04484127,Kansas,20005,7.25
2012.583333,"Atchison County, Kansas",0.04457973,Kansas,20005,7.25
2012.666667,"Atchison County, Kansas",0.04387352,Kansas,20005,7.25
2012.75,"Atchison County, Kansas",0.04410601,Kansas,20005,7.25
2012.833333,"Atchison County, Kansas",0.05274043,Kansas,20005,7.25
2012.916667,"Atchison County, Kansas",0.05218472,Kansas,20005,7.25
2013,"Atchison County, Kansas",0.05397669,Kansas,20005,7.25
2013.083333,"Atchison County, Kansas",0.05371054,Kansas,20005,7.25
2013.166667,"Atchison County, Kansas",0.05453055,Kansas,20005,7.25
2013.25,"Atchison County, Kansas",0.05274814,Kansas,20005,7.25
2013.333333,"Atchison County, Kansas",0.05154221,Kansas,20005,7.25
2013.416667,"Atchison County, Kansas",0.05194545,Kansas,20005,7.25
2013.5,"Atchison County, Kansas",0.05172414,Kansas,20005,7.25
2013.583333,"Atchison County, Kansas",0.05173776,Kansas,20005,7.25
2013.666667,"Atchison County, Kansas",0.05166271,Kansas,20005,7.25
2013.75,"Atchison County, Kansas",0.05059761,Kansas,20005,7.25
2013.833333,"Atchison County, Kansas",0.04994882,Kansas,20005,7.25
2013.916667,"Atchison County, Kansas",0.05022276,Kansas,20005,7.25
2014,"Atchison County, Kansas",0.05324028,Kansas,20005,7.25
2014.083333,"Atchison County, Kansas",0.04846244,Kansas,20005,7.25
2014.166667,"Atchison County, Kansas",0.05140279,Kansas,20005,7.25
2014.25,"Atchison County, Kansas",0.05144566,Kansas,20005,7.25
2014.333333,"Atchison County, Kansas",0.05157937,Kansas,20005,7.25
2014.416667,"Atchison County, Kansas",0.05184447,Kansas,20005,7.25
2014.5,"Atchison County, Kansas",0.04752436,Kansas,20005,7.25
2014.583333,"Atchison County, Kansas",0.04591939,Kansas,20005,7.25
2014.666667,"Atchison County, Kansas",0.04551779,Kansas,20005,7.25
2014.75,"Atchison County, Kansas",0.0468254,Kansas,20005,7.25
2014.833333,"Atchison County, Kansas",0.04646952,Kansas,20005,7.25
2014.916667,"Atchison County, Kansas",0.04632972,Kansas,20005,7.25
2015,"Atchison County, Kansas",0.04939255,Kansas,20005,7.25
2015.083333,"Atchison County, Kansas",0.04792645,Kansas,20005,7.25
2015.166667,"Atchison County, Kansas",0.05060769,Kansas,20005,7.25
2015.25,"Atchison County, Kansas",0.04965684,Kansas,20005,7.25
2015.333333,"Atchison County, Kansas",0.0521097,Kansas,20005,7.25
2015.416667,"Atchison County, Kansas",0.05326675,Kansas,20005,7.25
2015.5,"Atchison County, Kansas",0.05131388,Kansas,20005,7.25
2015.583333,"Atchison County, Kansas",0.049604,Kansas,20005,7.25
2015.666667,"Atchison County, Kansas",0.0483202,Kansas,20005,7.25
2015.75,"Atchison County, Kansas",0.04920075,Kansas,20005,7.25
2015.833333,"Atchison County, Kansas",0.04982891,Kansas,20005,7.25
2015.916667,"Atchison County, Kansas",0.05043813,Kansas,20005,7.25
2016,"Atchison County, Kansas",0.05301256,Kansas,20005,7.25
2016.083333,"Atchison County, Kansas",0.05096623,Kansas,20005,7.25
2016.166667,"Atchison County, Kansas",0.0470387,Kansas,20005,7.25
2016.25,"Atchison County, Kansas",0.04873164,Kansas,20005,7.25
2016.333333,"Atchison County, Kansas",0.04715734,Kansas,20005,7.25
2016.416667,"Atchison County, Kansas",0.04770357,Kansas,20005,7.25
2016.5,"Atchison County, Kansas",0.04805195,Kansas,20005,7.25
2016.583333,"Atchison County, Kansas",0.04831657,Kansas,20005,7.25
2016.666667,"Atchison County, Kansas",0.04905578,Kansas,20005,7.25
2016.75,"Atchison County, Kansas",0.04878049,Kansas,20005,7.25
2016.833333,"Atchison County, Kansas",0.04800349,Kansas,20005,7.25
2016.916667,"Atchison County, Kansas",0.04848093,Kansas,20005,7.25
2017,"Atchison County, Kansas",0.04967603,Kansas,20005,7.25
2017.083333,"Atchison County, Kansas",0.04833512,Kansas,20005,7.25
2017.166667,"Atchison County, Kansas",0.05097036,Kansas,20005,7.25
2017.25,"Atchison County, Kansas",0.05044382,Kansas,20005,7.25
2017.333333,"Atchison County, Kansas",0.05027563,Kansas,20005,7.25
2017.416667,"Atchison County, Kansas",0.04727192,Kansas,20005,7.25
2017.5,"Atchison County, Kansas",0.045671,Kansas,20005,7.25
2017.583333,"Atchison County, Kansas",0.04630843,Kansas,20005,7.25
2017.666667,"Atchison County, Kansas",0.04863222,Kansas,20005,7.25
2017.75,"Atchison County, Kansas",0.04474665,Kansas,20005,7.25
2017.833333,"Atchison County, Kansas",0.05040544,Kansas,20005,7.25
2017.916667,"Atchison County, Kansas",0.04910618,Kansas,20005,7.25
2018,"Atchison County, Kansas",0.04714959,Kansas,20005,7.25
2018.083333,"Atchison County, Kansas",0.04906143,Kansas,20005,7.25
2018.166667,"Atchison County, Kansas",0.05025884,Kansas,20005,7.25
2018.25,"Atchison County, Kansas",0.04931094,Kansas,20005,7.25
2018.333333,"Atchison County, Kansas",0.0483871,Kansas,20005,7.25
2018.416667,"Atchison County, Kansas",0.04817487,Kansas,20005,7.25
2018.5,"Atchison County, Kansas",0.04785789,Kansas,20005,7.25
2018.583333,"Atchison County, Kansas",0.0461667,Kansas,20005,7.25
2018.666667,"Atchison County, Kansas",0.04514107,Kansas,20005,7.25
2018.75,"Atchison County, Kansas",0.04626109,Kansas,20005,7.25
2018.833333,"Atchison County, Kansas",0.04640814,Kansas,20005,7.25
2018.916667,"Atchison County, Kansas",0.04605122,Kansas,20005,7.25
2019,"Atchison County, Kansas",0.0458163,Kansas,20005,7.25
2019.083333,"Atchison County, Kansas",0.0475356,Kansas,20005,7.25
2019.166667,"Atchison County, Kansas",0.0506135,Kansas,20005,7.25
2019.25,"Atchison County, Kansas",0.05048288,Kansas,20005,7.25
2019.333333,"Atchison County, Kansas",0.05062743,Kansas,20005,7.25
2019.416667,"Atchison County, Kansas",0.04720205,Kansas,20005,7.25
2019.5,"Atchison County, Kansas",0.04777276,Kansas,20005,7.25
2019.583333,"Atchison County, Kansas",0.04934281,Kansas,20005,7.25
2019.666667,"Atchison County, Kansas",0.05021552,Kansas,20005,7.25
2019.75,"Atchison County, Kansas",0.05081433,Kansas,20005,7.25
2019.833333,"Atchison County, Kansas",0.05212839,Kansas,20005,7.25
2019.916667,"Atchison County, Kansas",0.05032022,Kansas,20005,7.25
2020,"Atchison County, Kansas",0.05209047,Kansas,20005,7.25
2020.083333,"Atchison County, Kansas",0.04780393,Kansas,20005,7.25
2020.166667,"Atchison County, Kansas",0.04784462,Kansas,20005,7.25
2020.25,"Atchison County, Kansas",0.05172005,Kansas,20005,7.25
2020.333333,"Atchison County, Kansas",0.05431983,Kansas,20005,7.25
2020.416667,"Atchison County, Kansas",0.05021586,Kansas,20005,7.25
2020.5,"Atchison County, Kansas",0.05166052,Kansas,20005,7.25
2020.583333,"Atchison County, Kansas",0.0510882,Kansas,20005,7.25
2020.666667,"Atchison County, Kansas",0.05021685,Kansas,20005,7.25
2020.75,"Atchison County, Kansas",0.04931379,Kansas,20005,7.25
2020.833333,"Atchison County, Kansas",0.05079442,Kansas,20005,7.25
2020.916667,"Atchison County, Kansas",0.04922711,Kansas,20005,7.25
2021,"Atchison County, Kansas",0.04989459,Kansas,20005,7.25
2021.083333,"Atchison County, Kansas",0.05335222,Kansas,20005,7.25
2021.166667,"Atchison County, Kansas",0.05101807,Kansas,20005,7.25
2021.25,"Atchison County, Kansas",0.05128205,Kansas,20005,7.25
2021.333333,"Atchison County, Kansas",0.04650113,Kansas,20005,7.25
2021.416667,"Atchison County, Kansas",0.0440753,Kansas,20005,7.25
2021.5,"Atchison County, Kansas",0.04607777,Kansas,20005,7.25
2021.583333,"Atchison County, Kansas",0.04775528,Kansas,20005,7.25
2021.666667,"Atchison County, Kansas",0.04572304,Kansas,20005,7.25
2021.75,"Atchison County, Kansas",0.04582507,Kansas,20005,7.25
2021.833333,"Atchison County, Kansas",0.04651163,Kansas,20005,7.25
2021.916667,"Atchison County, Kansas",0.04474273,Kansas,20005,7.25
2022,"Atchison County, Kansas",0.04579982,Kansas,20005,7.25
2022.083333,"Atchison County, Kansas",0.04491086,Kansas,20005,7.25
2022.166667,"Atchison County, Kansas",0.04482912,Kansas,20005,7.25
2022.25,"Atchison County, Kansas",0.04340945,Kansas,20005,7.25
2022.333333,"Atchison County, Kansas",0.04659014,Kansas,20005,7.25
2022.416667,"Atchison County, Kansas",0.04616725,Kansas,20005,7.25
2022.5,"Atchison County, Kansas",0.0428289,Kansas,20005,7.25
2022.583333,"Atchison County, Kansas",0.04533623,Kansas,20005,7.25
2022.666667,"Atchison County, Kansas",0.04808743,Kansas,20005,7.25
2022.75,"Atchison County, Kansas",0.04643014,Kansas,20005,7.25
2022.833333,"Atchison County, Kansas",0.04633549,Kansas,20005,7.25
2022.916667,"Atchison County, Kansas",0.04651163,Kansas,20005,7.25
2023,"Atchison County, Kansas",0.0467453,Kansas,20005,7.25
2011.083333,"Barton County, Missouri",0.08914422,Missouri,29011,7.25
2011.166667,"Barton County, Missouri",0.08676875,Missouri,29011,7.25
2011.25,"Barton County, Missouri",0.08374572,Missouri,29011,7.25
